symbol,momentum_score,breakout_potential,rsi,volume,last_price,security_id
POWERGRID,0.5467823571945047,0.0,47.08,1126359.9,297.9,14977
VBL,0.38919172932330826,100.0,33.31,3751331.9,452.95,18921
BAJFINANCE,0.37538570029697255,0.0,31.03,22126450.599999998,929.8,317
ADANIGREEN,0.37106432210722395,100.0,33.54,4409930.0,1022.0,3563
PNB,0.30013058651355984,0.0,48.79,7916100.489999999,113.27,10666
ITC,0.2368921602543874,0.0,54.42,10370880.0,415.5,1660
SBIN,0.21520686264732147,0.0,43.66,8187663.0,819.75,3045
TVSMOTOR,0.19895183713730274,99.3220338983119,34.09,3604275.0,2895.0,8479
HINDUNILVR,0.08287337844253059,100.0,49.89,1203562.5,2292.5,1394
ADANIENSOL,0.0147475048413526,100.0,31.89,434288.25,877.35,10217
