SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,100,EQUITY,0,ARE&M,1,Amara Raja Energy & Mobility,,,,5,NA,ES,EQ,AMARA RAJA ENERGY MOB LTD
NSE,E,10074,EQUITY,0,EMAMIPAP,1,Emami Paper Mills,,,,1,NA,ES,EQ,EMAMI PAPER MILLS LIMITED
NSE,E,1008,EQUITY,0,FACT,1,Fertilisers & Chemical Travancore,,,,5,NA,ES,EQ,FACT LTD
NSE,E,10099,EQUITY,0,GODREJCP,1,Godrej Consumer Products,,,,10,NA,ES,EQ,GODREJ CONSUMER PRODUCTS
NSE,E,1011,EQUITY,0,SCHAEFFLER,1,Schaeffler India,,,,10,NA,ES,EQ,SCHAEFFLER INDIA LIMITED
NSE,E,10159,EQUITY,0,ORICONENT,1,Oricon Enterprises,,,,1,NA,ES,EQ,ORICON ENTERPRISES LTD
NSE,E,10176,EQUITY,0,SETFNIF50,1,SBI Nifty 50 ETF,,,,1,NA,ETF,EQ,SBI-ETF NIFTY 50
NSE,E,10181,EQUITY,0,BALKRISHNA,1,Balkrishna Paper Mills,,,,1,NA,ES,EQ,BALKRISHNA PAPER MILLS L
NSE,E,10217,EQUITY,0,ADANIENSOL,1,Adani Energy Solutions,,,,5,NA,ES,EQ,ADANI ENERGY SOLUTION LTD
NSE,E,10227,EQUITY,0,MANORAMA,1,Manorama Industries,,,,10,NA,ES,EQ,MANORAMA INDUSTRIES LTD
NSE,E,1023,EQUITY,0,FEDERALBNK,1,Federal Bank,,,,1,NA,ES,EQ,FEDERAL BANK LTD
NSE,E,10238,EQUITY,0,CONFIPET,1,Confidence Petroleum,,,,1,NA,ES,EQ,CONFIDENCE PETRO IND LTD.
NSE,E,10243,EQUITY,0,SYNGENE,1,Syngene International,,,,5,NA,ES,EQ,SYNGENE INTERNATIONAL LTD
NSE,E,10276,EQUITY,0,KAYA,1,Kaya,,,,5,NA,ES,EQ,KAYA LIMITED
NSE,E,10285,EQUITY,0,AYMSYNTEX,1,AYM Syntex,,,,1,NA,ES,EQ,AYM SYNTEX LIMITED
NSE,E,10297,EQUITY,0,PPL,1,Prakash Pipes,,,,5,NA,ES,EQ,PRAKASH PIPES LIMITED
NSE,E,1030,EQUITY,0,AARON,1,Aaron Industries,,,,5,NA,ES,EQ,AARON INDUSTRIES LIMITED
NSE,E,10300,EQUITY,0,RAMASTEEL,1,Rama Steel Tubes,,,,1,NA,ES,EQ,RAMA STEEL TUBES LIMITED
NSE,E,10310,EQUITY,0,AURUM,1,Aurum PropTech,,,,1,NA,ES,EQ,AURUM PROPTECH LIMITED
NSE,E,10321,EQUITY,0,PKTEA,1,Peria Karamalai Tea,,,,5,NA,ES,EQ,THE P K TEA PROD CO LTD
NSE,E,10343,EQUITY,0,RADHIKAJWE,1,Radhika Jeweltech,,,,1,NA,ES,EQ,RADHIKA JEWELTECH LIMITED
NSE,E,10346,EQUITY,0,DGCONTENT,1,Digicontent,,,,1,NA,ES,EQ,DIGICONTENT LIMITED
NSE,E,10350,EQUITY,0,CSLFINANCE,1,CSL Finance,,,,5,NA,ES,EQ,CSL FINANCE LIMITED
NSE,E,1038,EQUITY,0,FINCABLES,1,Finolex Cables,,,,5,NA,ES,EQ,FINOLEX CABLES LTD
NSE,E,10397,EQUITY,0,JISLJALEQS,1,Jain Irrigation Systems,,,,1,NA,ES,EQ,JAIN IRRIGATION SYSTEMS
NSE,E,104,EQUITY,0,SHAREINDIA,1,Share India Securities,,,,1,NA,ES,EQ,SHARE IND. SECURITIES LTD
NSE,E,10406,EQUITY,0,STEELCITY,1,Steel City Securities,,,,1,NA,ES,EQ,STEEL CITY SECURITIES LTD
NSE,E,10407,EQUITY,0,KSHITIJPOL,1,Kshitij Polyline,,,,1,NA,ES,EQ,KSHITIJ POLYLINE LIMITED
NSE,E,1041,EQUITY,0,FINPIPE,1,Finolex Industries,,,,1,NA,ES,EQ,FINOLEX INDUSTRIES LTD
NSE,E,10415,EQUITY,0,MUTHOOTCAP,1,Muthoot Capital Services,,,,5,NA,ES,EQ,MUTHOOT CAP SERV LTD
