date,Script_Name,total_scanned,affordable,technical_passed,volume_passed,sentiment_passed,sma_passed,rsi_passed,final_selected,market_condition
07/21/2025 09:37,dynamic_stock_generator.py,102,18,81,90,0,78,21,18,
07/22/2025 09:37,dynamic_stock_generator.py,102,34,82,88,0,132,39,34,
07/23/2025 09:38,dynamic_stock_generator.py,102,25,85,91,0,95,29,25,
07/24/2025 08:21,dynamic_stock_generator.py,65,21,50,54,0,22,54,21,bullish
07/24/2025 09:37,dynamic_stock_generator.py,102,22,85,90,0,137,26,22,
07/24/2025 09:46,dynamic_stock_generator.py,102,22,85,90,0,137,26,22,
07/24/2025 10:10,dynamic_stock_generator.py,22,4,16,17,0,5,20,4,bullish
07/25/2025 09:38,dynamic_stock_generator.py,102,17,85,89,0,91,19,17,
07/29/2025 09:38,dynamic_stock_generator.py,102,17,82,88,0,87,18,17,
07/30/2025 12:08,consolidated_dynamic_stock_generator.py,55,20,46,50,0,20,56,20,bullish
07/30/2025 12:27,consolidated_dynamic_stock_generator.py,63,23,54,58,0,23,65,23,bullish
07/30/2025 13:45,consolidated_dynamic_stock_generator.py,2082,21,44,47,0,21,54,21,bullish
07/30/2025 14:37,consolidated_dynamic_stock_generator.py,2062,14,27,28,0,14,38,14,bullish
07/30/2025 15:09,consolidated_dynamic_stock_generator.py,2105,27,61,64,0,30,72,27,bullish
07/30/2025 15:29,consolidated_dynamic_stock_generator.py,2105,27,61,64,0,30,72,27,bullish
07/31/2025 09:30,consolidated_dynamic_stock_generator.py,2036,1,5,5,0,1,4,1,bearish
07/31/2025 09:41,dynamic_stock_generator.py,100,15,84,86,0,97,19,15,
07/31/2025 10:13,dynamic_stock_generator.py,100,15,84,86,0,97,19,15,
07/31/2025 10:43,dynamic_stock_generator.py,100,15,84,86,0,97,19,15,
07/31/2025 11:15,consolidated_dynamic_stock_generator.py,2047,2,12,12,0,6,12,2,bearish
