date,starting_capital,deployed,profits_realized,capital_after_exit,notes
4/22/2025,5000,5000,0,5000,
4/23/2025 14:57,4415.45,3905.67,-509.78,-11.55,
4/24/2025 17:52,3700,3663.35,-14.35,3649,LOSS
2025-04-25 15:45,3587.5,3543.63,-43.87,-1.22,LOSS
2025-04-28,3000.0,3000.0,38.15,3038.15,PROFIT
2025-04-29,1000.0,1000.0,-15.34,1000.0,LOSS
2025-04-30,3000.0,3000.0,-15.34,3000.0,LOSS
2025-05-01,3000.0,3000.0,-15.34,3000.0,LOSS
2025-05-04,3000.0,3000.0,-15.34,3000.0,LOSS
2025-05-04,3000.0,3000.0,-15.34,3000.0,LOSS
2025-05-05,3000.0,3000.0,-37.36,3000.0,LOSS
2025-05-06,3000.0,3000.0,-37.36,3000.0,LOSS
2025-05-08,3000.0,3000.0,-37.36,3000.0,LOSS
2025-05-09,3000.0,3000.0,-37.36,3000.0,LOSS
2025-05-09,3000.0,3000.0,-37.36,3000.0,LOSS
2025-05-10,3000.0,3000.0,-37.36,3000.0,LOSS
