symbol,sector
HDFCBANK,NIFTY BANK
ICICIBANK,NIFTY BANK
KOTAKBANK,NIFTY BANK
AXISBANK,NIFTY BANK
SBIN,NIFTY BANK
INDUSINDBK,NIFTY BANK
BANKBARODA,NIFTY BANK
PNB,NIFTY BANK
TCS,NIFTY IT
INFY,NIFTY IT
WIPRO,NIFTY IT
TECHM,NIFTY IT
HCLTECH,NIFTY IT
LTIM,NIFTY IT
PERSISTENT,NIFTY IT
COFORGE,NIFTY IT
ITC,NIFTY FMCG
HINDUNILVR,NIFTY FMCG
NESTLEIND,NIFTY FMCG
BRITANNIA,NIFTY FMCG
TATACONSUM,NIFTY FMCG
MARICO,NIFTY FMCG
GODREJCP,NIFTY FMCG
DABUR,NIFTY FMCG
TATAMOTORS,NIFTY AUTO
HEROMOTOCO,NIFTY AUTO
EICHERMOT,NIFTY AUTO
BAJAJ-AUTO,NIFTY AUTO
M&M,NIFTY AUTO
ASHOKLEY,NIFTY AUTO
TVSMOTOR,NIFTY AUTO
TATASTEEL,NIFTY METAL
JSWSTEEL,NIFTY METAL
HINDALCO,NIFTY METAL
VEDL,NIFTY METAL
SAIL,NIFTY METAL
NMDC,NIFTY METAL
JINDALSTEL,NIFTY METAL
SUNPHARMA,NIFTY PHARMA
DRREDDY,NIFTY PHARMA
CIPLA,NIFTY PHARMA
AUROPHARMA,NIFTY PHARMA
DIVISLAB,NIFTY PHARMA
BIOCON,NIFTY PHARMA
RELIANCE,NIFTY ENERGY
ONGC,NIFTY ENERGY
NTPC,NIFTY ENERGY
POWERGRID,NIFTY ENERGY
IOC,NIFTY ENERGY
BPCL,NIFTY ENERGY
GAIL,NIFTY ENERGY
TATAPOWER,NIFTY ENERGY
DLF,NIFTY REALTY
GODREJPROP,NIFTY REALTY
OBEROIRLTY,NIFTY REALTY
LODHA,NIFTY REALTY
PHOENIXLTD,NIFTY REALTY
BAJFINANCE,NIFTY FIN SERVICE
BAJAJFINSV,NIFTY FIN SERVICE
HDFCAMC,NIFTY FIN SERVICE
CHOLAFIN,NIFTY FIN SERVICE
MUTHOOTFIN,NIFTY FIN SERVICE
ICICIGI,NIFTY FIN SERVICE
ICICIPRULI,NIFTY FIN SERVICE
