Sector,Status,Close,RSI,MA20,MA50
NIFTY 50,Data Unavailable,,,,
NIFTY BANK,Data Unavailable,,,,
NIFTY IT,Data Unavailable,,,,
NIFTY AUTO,Data Unavailable,,,,
NIFTY FMCG,Data Unavailable,,,,
NIFTY FIN SERVICE,Data Unavailable,,,,
NIFTY PHARMA,Data Unavailable,,,,
NIFTY REALTY,Data Unavailable,,,,
NIFTY ENERGY,Data Unavailable,,,,
NIFTY METAL,Data Unavailable,,,,
NIFTY OIL & GAS,Data Unavailable,,,,
NIFTY CONSUMER DURABLES,Data Unavailable,,,,
NIFTY HEALTHCARE,Data Unavailable,,,,
NIFTY INFRA,Data Unavailable,,,,
NIFTY MEDIA,Data Unavailable,,,,
NIFTY PSU BANK,Data Unavailable,,,,
NIFTY PRIVATE BANK,Data Unavailable,,,,
NIFTY SERVICES SECTOR,Data Unavailable,,,,
NIFTY COMMODITIES,Data Unavailable,,,,
