Sector,Status,Symbol,Close,RSI,MA20,MA50,Volume
NIFTY 50,Data Unavailable,RELIANCE,,,,,
NIFTY BANK,Data Unavailable,HDFCBANK,,,,,
NIFTY IT,Data Unavailable,INFY,,,,,
NIFTY AUTO,Data Unavailable,MARUTI,,,,,
NIFTY FMCG,Data Unavailable,HINDUNILVR,,,,,
NIFTY FIN SERVICE,Data Unavailable,BAJFINANCE,,,,,
NIFTY PHARMA,Data Unavailable,SUNPHARMA,,,,,
NIFTY REALTY,Data Unavailable,DLF,,,,,
NIFTY ENERGY,Data Unavailable,RELIANCE,,,,,
NIFTY METAL,Data Unavailable,TATASTEEL,,,,,
NIFTY OIL & GAS,Data Unavailable,RELIANCE,,,,,
NIFTY CONSUMER DURABLES,Data Unavailable,TITAN,,,,,
NIFTY HEALTHCARE,Data Unavailable,APOLLOHOSP,,,,,
NIFTY INFRA,Data Unavailable,LT,,,,,
NIFTY MEDIA,Data Unavailable,ZEEL,,,,,
NIFTY PSU BANK,Data Unavailable,SBIN,,,,,
NIFTY PRIVATE BANK,Data Unavailable,ICICIBANK,,,,,
NIFTY SERVICES SECTOR,Data Unavailable,CHOLAFIN,,,,,
NIFTY COMMODITIES,Data Unavailable,MMTC,,,,,
