symbol,security_id,ltp,avg_volume,atr,qty
RELTD,24596,154.39,1532971,6.39,20
FIBERWEB,8159,55.33,260266,2.0,57
ITI,1675,329.3,7300673,12.56,9
SIGIND,4522,75.03,308648,2.67,42
MMTC,17957,77.98,82122536,2.79,40
SUPREME,29439,97.44,351779,3.21,32
NRL,13675,88.16,1033350,2.81,35
BAJAJFINSV,16675,429.0,1187918,13.4,7
PFOCUS,13496,108.78,1004971,3.23,29
DEEDEV,24154,293.5,1071671,9.07,10
MEDICO,9667,53.0,656003,1.51,59
DIACABS,18543,109.88,1367658,3.15,28
MASTERTR,27047,152.3,247042,4.35,20
JUNIORBEES,10939,717.72,305179,21.46,4
VENUSREM,13859,459.7,464643,13.52,6
ICIL,11987,270.8,1347266,7.37,11
OMAXE,14853,99.8,369158,2.58,31
MODISONLTD,3316,176.12,226848,4.7,17
SPMLINFRA,3321,193.0,246731,4.88,16
SRM,23402,446.8,326289,11.02,7
KIRIINDUS,16639,616.05,2570399,15.34,5
YATRA,18760,100.99,895405,2.47,31
VETO,8652,131.89,579134,3.17,24
IFCI,1491,67.44,122225983,1.63,46
ADSL,14813,199.5,873746,4.98,15
ESTER,24265,138.02,881649,3.36,22
OLECTRA,10637,1239.0,1772302,36.38,2
DENTA,29256,274.4,435164,6.57,11
AXISCADES,9440,1093.8,235643,35.94,2
GOLDBEES,14428,80.55,10425179,1.83,39
KRONOX,24025,175.05,499923,3.95,18
DBEIL,25892,145.27,235880,3.38,21
OCCLLTD,25918,95.25,437627,2.1,33
AVANTEL,24610,152.11,5941977,3.44,20
GPTINFRA,17685,141.5,307836,3.11,22
SUVENPHAR,17945,1021.6,215408,22.76,3
JAGRAN,13211,73.1,1210844,1.58,43
BBOX,3435,550.8,735602,13.48,5
WCIL,25403,108.11,1555358,2.32,29
SDBL,1338,139.2,4964785,2.98,22
PARKHOTELS,22649,151.5,799027,3.26,20
COMSYN,21578,116.9,367306,2.41,27
BLACKBUCK,27144,439.05,417284,9.25,7
CAMLINFINE,6216,242.63,1772863,4.88,13
KRISHANA,12847,403.45,355965,9.06,7
QPOWER,29711,469.2,2326178,10.52,6
JAICORPLTD,5143,113.38,612349,2.3,27
TECHNOE,6445,1451.0,1654783,30.74,2
RAYMONDLSL,25073,1008.6,233367,20.48,3
MID150BEES,8506,218.55,394836,4.37,14
KECL,18220,127.0,397675,2.5,24
IPL,4934,209.69,2235818,3.98,15
RATNAVEER,18423,152.9,534533,2.98,20
UNIMECH,28960,1245.0,539071,29.67,2
INOXWIND,7852,184.87,18696676,3.48,17
EIEL,27213,228.25,4847832,4.54,13
GVT&D,16783,2294.9,1448007,59.02,1
SHRIRAMPPS,7200,93.05,3399081,1.73,34
TALBROAUTO,13648,293.15,291445,5.85,10
AGARWALEYE,29452,334.25,1124362,6.49,9
GARUDA,25800,111.17,1264112,2.07,28
KERNEX,13121,1115.5,509226,28.86,2
LUMAXTECH,14014,902.0,1500052,19.15,3
ENGINERSIN,4907,230.2,14673144,4.39,13
NITCO,13300,138.42,299258,2.59,22
JAGSNPHARM,4410,236.21,272214,4.37,13
ADVENZYMES,18039,304.7,430298,5.62,10
KROSS,25252,192.22,680376,3.51,16
GSLSU,14599,127.71,325696,2.34,24
EPACK,22463,371.15,963781,6.97,8
JGCHEM,23056,381.4,247929,6.97,8
VPRPL,18341,168.18,1337167,3.09,18
HARSHA,11162,390.0,395172,6.94,8
FIRSTCRY,24814,341.2,1154264,6.16,9
ERIS,21154,1568.1,270419,27.44,2
MAMATA,28687,441.35,1407513,7.83,7
